1	1702863
2009	1457043
2	1338375
3	985006
2008	892604
5	781613
4	759711
10	621025
2010	591335
0	568247
2007	546035
6	526359
7	508711
8	443025
9	381135
20	349103
12	334516
2006	332000
15	304559
30	290731
11	276497
100	257013
18	244293
2005	237844
25	231168
14	228815
13	227207
24	225545
16	215624
17	191893
50	190806
21	181754
22	175274
19	173928
2004	169383
23	156420
2003	146522
26	144441
28	143640
27	139265
2000	138999
29	130083
40	117558
31	110711
2002	110457
2001	97700
60	90034
2.0	76433
1999	70694
200	68297
500	65613
35	64955
32	62033
80	61934
90	61219
1998	60443
0.0	60144
45	56463
70	56026
1997	54273
36	52613
33	50269
360	49385
1996	48641
48	48185
44	48048
75	47575
34	46194
300	45615
1995	44996
37	42340
42	41441
39	40448
38	40158
1.0	38256
1000	37183
41	36563
1994	36483
55	36378
150	35621
43	35492
65	35375
49	35137
400	33691
46	33214
250	32389
95	32295
64	31668
52	31501
47	31467
3.0	31355
101	31292
1993	31151
51	30529
99	30249
1990	29842
1992	29769
1.5	29402
0.5	28626
5.0	28412
54	27444
2.5	27357
0.1	27252
120	27147
1991	26658
56	26470
53	25681
72	25318
98	24913
61	24806
800	24735
66	24649
85	24365
1989	23843
59	23823
58	23620
57	23562
600	22424
62	21977
3.5	21622
69	21445
63	21158
1988	20881
68	20464
0.2	19926
67	19890
700	19818
1987	19375
1986	19115
4.0	19095
74	19023
88	18926
78	18908
110	18782
2011	18682
96	18680
77	18658
71	18471
1980	18180
1984	18071
84	18009
86	17970
76	17923
1985	17863
97	17842
82	17829
91	17508
73	17500
81	17013
79	16942
92	16911
93	16719
94	16605
125	16555
89	16381
0.3	16297
83	16177
87	16134
1.1	15810
2012	15597
1983	15465
1982	14825
106	14653
1981	14587
180	14521
1.2	14443
1970	14392
350	14340
140	14321
160	14310
1979	13966
130	13693
4.5	13670
105	13431
1978	13046
1976	12716
-1	12688
1977	12480
102	12423
1973	12265
1969	12054
1975	11942
104	11906
6.0	11878
1968	11866
128	11762
1972	11681
1974	11665
2257	11578
1.3	11560
103	11478
900	11384
0.4	11382
1500	11197
2.1	11130
3000	11081
107	11041
0.8	10966
1971	10936
109	10764
1960	10736
111	10676
115	10665
108	10657
112	10647
7.0	10572
10.0	10319
1967	10317
123	10158
1.6	10090
-5	10043
5000	9951
1.4	9647
1965	9446
2.2	9403
1964	9343
1950	9287
911	9235
240	9160
2.4	9131
1920	9101
7.5	9036
170	8995
1966	8982
114	8969
6.5	8888
5.5	8874
0.6	8802
121	8750
220	8722
116	8680
0.01	8673
135	8670
117	8652
113	8564
118	8526
-2	8517
3.1	8398
1963	8324
1.8	8311
450	8305
1200	8286
inf	8280
119	8240
122	8186
175	8106
3.2	8037
5.1	7917
-4	7828
1962	7825
750	7788
0.9	7683
124	7657
127	7637
8.5	7634
131	7535
145	7523
4.1	7513
210	7451
320	7442
1900	7433
-7	7416
2.3	7373
129	7354
8.0	7333
201	7276
1961	7255
126	7214
365	7149
144	7127
1800	7089
132	7025
0.05	7025
1940	7009
192	7000
190	6942
4.2	6928
0.7	6922
1945	6870
-3	6833
4.3	6748
133	6745
1959	6741
165	6737
225	6735
136	6733
1948	6661
155	6655
3.3	6644
143	6617
134	6600
230	6584
149	6580
256	6578
141	6519
1.7	6490
151	6350
401	6344
138	6293
137	6289
1946	6285
199	6234
1958	6214
1957	6200
501	6196
142	6174
1930	6148
9.0	6125
1956	6109
139	6103
152	6078
3.6	6020
19.95	6016
202	6004
100.0	5974
148	5960
1955	5957
650	5930
2.8	5871
2.7	5856
2500	5834
146	5817
1954	5805
168	5764
2.6	5760
3.4	5759
147	5741
161	5737
205	5723
260	5690
9.99	5687
550	5665
-6	5651
156	5586
154	5579
158	5574
1953	5562
1947	5509
185	5508
182	5456
1600	5438
280	5414
212	5391
1939	5386
153	5382
1942	5377
4000	5365
1949	5360
1952	5354
169	5352
1944	5344
215	5339
1941	5305
163	5296
1300	5268
159	5266
206	5233
208	5223
270	5217
480	5187
176	5182
-8	5182
157	5150
166	5134
4.6	5123
411	5118
3.8	5100
164	5095
1.9	5069
9.5	5063
1951	5049
162	5031
330	5014
179	5009
4.4	5002
301	4993
802.11	4992
204	4961
20.0	4945
1100	4941
172	4920
1943	4906
4.99	4904
203	4904
15.0	4902
50.0	4895
167	4876
174	4872
177	4861
195	4858
207	4853
0.25	4852
178	4838
255	4811
171	4797
187	4758
173	4733
404	4730
181	4694
275	4688
184	4685
189	4681
25.0	4679
264	4670
310	4669
188	4667
4.7	4656
-500	4586
420	4551
10.5	4525
222	4521
325	4520
183	4510
3.7	4498
1937	4495
6.1	4465
1933	4453
29.95	4453
211	4435
219	4429
-9	4421
1938	4377
186	4374
512	4371
235	4358
224	4356
1934	4354
1936	4342
4.8	4333
191	4313
299	4251
216	4228
5.3	4210
214	4172
196	4145
1918	4141
5.2	4135
1929	4132
1024	4119
9.95	4119
1910	4117
209	4104
197	4103
1935	4088
302	4037
0.99	4026
221	4022
198	4018
845	3957
213	3954
218	3937
193	3926
194	3901
340	3901
1917	3897
12.5	3873
19.99	3862
223	3838
304	3812
850	3806
1913	3801
234	3796
7.1	3795
3.9	3794
290	3790
305	3789
1932	3777
1901	3775
245	3763
7.3	3762
1911	3745
217	3713
-10	3709
226	3695
1.99	3690
2.9	3683
1850	3665
233	3636
1880	3613
6000	3603
1914	3597
232	3593
12.0	3591
6.3	3581
243	3576
228	3574
229	3560
